#Calcium Fluoride (CaF2)	Ca1F2(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	68.588	68.572	68.572	0.	-1225.912	-1173.496	205.592
300	68.772	68.997	68.574	0.127	-1225.891	-1173.171	204.267
400	73.864	89.630	71.353	7.311	-1224.561	-1155.791	150.931
500	76.220	106.375	76.736	14.819	-1223.184	-1138.759	118.965
600	78.517	120.471	82.880	22.554	-1221.865	-1121.999	97.679
700	81.090	132.764	89.146	30.532	-1220.577	-1105.456	82.490
800	83.918	143.774	95.298	38.781	-1220.132	-1088.995	71.104
900	86.952	153.832	101.251	47.323	-1218.769	-1072.684	62.257
1000	90.128	163.157	106.981	56.177	-1217.427	-1056.525	55.187
1100	93.412	171.901	112.489	65.353	-1216.093	-1040.499	49.409
1200	96.780	180.172	117.788	74.862	-1222.490	-1023.973	44.572
1300	100.207	188.054	122.892	84.711	-1219.910	-1007.532	40.483
1400	103.680	195.607	127.818	94.905	-1217.007	-991.302	36.986
