#Ammonium Chloride (NH4Cl)	Cl1H4N1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
500	90.500	153.330	106.407	23.462	-309.363	-128.299	13.403
600	101.671	170.818	115.701	33.071	-308.920	-92.110	8.019
700	112.801	187.327	124.764	43.795	-307.429	-56.079	4.185
800	123.888	203.113	133.577	55.629	-304.904	-20.332	1.328
900	134.976	218.360	142.155	68.585	-301.346	15.037	-0.873
1000	144.557	233.090	150.517	82.573	-296.853	49.958	-2.610
1100	152.716	247.259	158.672	97.446	-291.583	84.389	-4.007
1200	159.829	260.879	166.625	113.104	-285.636	118.311	-5.150
1300	163.176	273.774	174.376	129.217	-279.347	151.720	-6.096
1400	171.000	286.172	181.921	145.952	-272.549	184.628	-6.889
1500	175.728	298.149	189.273	163.314	-265.232	217.030	-7.558
