#Potassium Fluoride (KF)	F1K1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	48.982	66.547	66.547	0.	-568.606	-538.934	94.419
300	49.022	66.850	66.547	0.091	-568.599	-538.750	93.805
400	51.045	81.245	68.496	5.099	-570.678	-528.399	69.002
500	52.718	92.820	72.240	10.290	-570.278	-517.872	54.102
600	54.266	102.571	76.504	15.640	-569.704	-507.442	44.177
700	55.856	111.056	80.846	21.147	-568.969	-497.121	37.096
800	57.404	118.614	85.103	26.808	-568.089	-486.915	31.792
900	59.078	125.468	89.213	32.630	-567.077	-476.828	27.674
1000	61.170	131.797	93.159	38.639	-565.926	-466.860	24.386
1100	63.848	137.748	96.944	44.884	-643.560	-452.406	21.483
