#Sodium Fluoride (NaF)	F1Na1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	46.852	51.212	51.212	0.	-575.384	-545.081	95.496
300	46.924	51.502	51.213	0.087	-575.378	-544.892	94.874
400	49.597	65.409	53.091	4.927	-577.769	-534.566	69.807
500	51.262	76.664	56.716	9.974	-577.506	-523.791	54.720
600	52.677	86.136	60.850	15.171	-577.062	-513.087	44.668
700	54.124	94.363	65.063	20.510	-576.451	-502.471	37.495
800	55.710	101.692	69.191	26.001	-575.674	-491.953	32.121
900	57.492	108.355	73.178	31.659	-574.730	-481.543	27.948
1000	59.505	114.514	77.007	37.507	-573.615	-471.247	24.615
1100	61.756	120.289	80.682	43.568	-572.322	-461.071	21.894
1200	64.266	125.768	84.213	49.866	-667.607	-448.581	19.526
