#Iron Fluoride (FeF2)	F2Fe1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	68.116	86.985	86.985	0.	-705.841	-663.168	116.184
300	68.199	87.407	86.987	0.126	-705.819	-662.903	115.422
400	71.965	107.562	89.709	7.141	-704.651	-648.774	84.721
500	74.894	123.948	94.968	14.490	-703.521	-634.937	66.331
600	77.153	137.811	100.983	22.097	-702.473	-621.321	54.091
700	78.868	149.837	107.122	29.900	-701.547	-607.871	45.360
800	80.249	160.462	113.138	37.859	-700.813	-594.541	38.820
900	81.337	169.979	118.934	45.941	-700.414	-581.286	33.737
1000	82.132	178.592	124.476	54.115	-700.676	-568.045	29.672
1100	82.717	186.448	129.758	62.359	-701.795	-554.713	26.341
1200	83.178	193.666	134.787	70.655	-702.335	-541.337	23.564
1300	83.516	200.338	139.576	78.990	-701.212	-527.966	21.214
