#Magnesium Fluoride (MgF2)	F2Mg1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	61.547	57.255	57.255	0.	-1124.241	-1071.109	187.654
300	61.689	57.636	57.256	0.114	-1124.231	-1070.779	186.439
400	68.484	76.377	59.765	6.645	-1123.475	-1053.065	137.516
500	72.634	92.132	64.706	13.713	-1122.439	-1035.579	108.186
600	75.320	105.624	70.429	21.117	-1121.275	-1018.315	88.652
700	77.178	117.381	76.315	28.746	-1120.070	-1001.250	74.714
800	78.555	127.780	82.110	36.535	-1118.878	-984.358	64.272
900	79.626	137.096	87.711	44.446	-1117.740	-967.612	56.159
1000	80.496	145.532	93.078	52.453	-1125.279	-950.276	49.637
1100	81.237	153.239	98.202	60.541	-1124.342	-932.821	44.296
1200	81.877	160.336	103.088	68.697	-1123.363	-915.452	39.849
1300	82.454	166.912	107.748	76.914	-1122.346	-898.167	36.089
1400	82.977	173.042	112.195	85.186	-1248.705	-877.795	32.751
1500	83.467	178.784	116.445	93.508	-1246.272	-851.386	29.648
