#Sodium Hydroxide (NaOH)	H1Na1O1(cr,l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
600	86.065	136.778	77.935	35.305	-411.445	-332.417	28.939
700	85.479	150.001	87.311	43.883	-408.916	-319.446	23.837
800	84.893	161.377	95.875	52.401	-406.451	-306.834	20.034
900	84.308	171.342	103.718	60.861	-404.068	-294.526	17.094
1000	83.722	180.194	110.931	69.263	-401.787	-282.478	14.755
1100	83.136	188.146	117.596	77.606	-399.626	-270.653	12.852
1200	82.550	195.355	123.780	85.890	-494.366	-256.579	11.169
1300	81.965	201.939	129.543	94.116	-491.571	-236.877	9.518
1400	81.379	207.992	134.933	102.283	-488.871	-217.387	8.111
1500	80.793	213.587	139.992	110.392	-486.266	-198.087	6.898
1600	80.207	218.782	144.756	118.442	-483.754	-178.957	5.842
1700	79.622	223.627	149.255	126.432	-481.334	-159.982	4.916
1800	79.119	228.164	153.514	134.369	-479.001	-141.147	4.096
1900	78.638	232.428	157.556	142.257	-476.749	-122.439	3.366
2000	78.199	236.450	161.401	150.098	-474.574	-103.848	2.712
2100	77.801	240.256	165.067	157.898	-472.471	-85.363	2.123
2200	77.467	243.867	168.567	165.661	-470.434	-66.977	1.590
2300	77.182	247.304	171.916	173.393	-468.457	-48.683	1.106
2400	76.956	250.584	175.126	181.099	-466.535	-30.474	0.663
2500	76.760	253.722	178.208	188.785	-464.662	-12.343	0.258
