#Potassium Silicate (K2SiO3)	K2O3Si1(cr,l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	118.407	146.147	146.147	0.	-1548.080	-1455.733	255.038
300	118.758	146.881	146.149	0.219	-1548.089	-1455.160	253.366
400	135.562	183.448	151.021	12.971	-1552.872	-1423.255	185.858
500	148.114	215.101	160.743	27.179	-1551.745	-1390.957	145.312
600	157.737	242.994	172.173	42.492	-1549.626	-1358.985	118.310
700	164.850	267.859	184.099	58.632	-1546.808	-1327.426	99.054
800	170.707	290.268	195.992	75.420	-1543.488	-1296.307	84.640
900	175.310	310.648	207.617	92.728	-1539.816	-1265.627	73.455
1000	179.075	329.321	218.867	110.455	-1535.919	-1235.369	64.529
1100	182.004	346.523	229.700	128.505	-1689.825	-1196.287	56.807
1200	185.351	362.515	240.110	146.887	-1683.623	-1151.692	50.132
