#Magnesium (Mg)	Mg1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-4.998	0.	0.	0.
100	15.762	9.505	53.066	-4.356	0.	0.	0.
200	22.724	23.143	34.888	-2.349	0.	0.	0.
250	24.018	28.364	33.076	-1.178	0.	0.	0.
298.15	24.869	32.671	32.671	0.	0.	0.	0.
300	24.897	32.825	32.671	0.046	0.	0.	0.
350	25.568	36.715	32.977	1.308	0.	0.	0.
400	26.144	40.167	33.664	2.601	0.	0.	0.
450	26.668	43.277	34.562	3.922	0.	0.	0.
500	27.171	46.113	35.578	5.268	0.	0.	0.
600	28.184	51.156	37.764	8.035	0.	0.	0.
700	29.279	55.581	39.999	10.907	0.	0.	0.
800	30.507	59.569	42.200	13.895	0.	0.	0.
900	31.895	63.241	44.336	17.014	0.	0.	0.
