#Magnesium Sulfate (MgSO4)	Mg1O4S1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	96.232	91.396	91.396	0.	-1261.786	-1147.408	201.021
300	96.441	91.992	91.398	0.178	-1261.804	-1146.698	199.658
400	109.997	121.692	95.355	10.535	-1264.542	-1108.138	144.708
500	119.411	147.271	103.240	22.015	-1265.774	-1068.894	111.667
600	127.612	169.790	112.492	34.379	-1266.082	-1029.474	89.624
700	134.306	189.970	122.143	47.479	-1265.710	-990.061	73.879
800	140.499	208.314	131.785	61.223	-1264.839	-950.737	62.077
900	146.231	225.196	141.238	75.562	-1316.686	-910.467	52.842
1000	151.670	240.888	150.428	90.461	-1322.424	-864.769	45.171
1100	156.691	255.582	159.326	105.881	-1319.324	-819.150	38.898
1200	161.419	269.424	167.930	121.793	-1315.827	-773.831	33.684
1300	165.352	282.504	176.245	138.137	-1311.983	-728.819	29.284
1400	168.619	294.881	184.281	154.840	-1435.265	-680.946	25.406
