#Magnesium Titanium Oxide (MgTi2O5)	Mg1O5Ti2(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	146.858	135.603	135.603	0.	-2509.354	-2368.790	415.002
300	147.335	136.513	135.606	0.272	-2509.357	-2367.918	412.291
400	165.753	181.688	141.640	16.019	-2508.821	-2320.819	303.068
500	176.665	219.925	153.575	33.175	-2507.459	-2273.965	237.559
600	184.498	252.858	167.441	51.250	-2505.701	-2227.426	193.915
700	190.807	281.785	181.751	70.024	-2503.712	-2181.202	162.763
800	196.276	307.628	195.899	89.383	-2501.533	-2135.276	139.419
900	201.238	331.036	209.634	109.262	-2499.268	-2089.630	121.279
1000	205.870	352.481	222.861	129.620	-2505.664	-2043.521	106.743
1100	210.284	372.311	235.557	150.429	-2503.688	-1997.403	94.849
1200	214.539	390.791	247.732	171.671	-2509.739	-1951.222	84.934
1300	218.681	408.127	259.410	193.332	-2506.427	-1904.812	76.536
1400	222.739	424.482	270.622	215.404	-2630.346	-1855.496	69.229
1500	226.731	439.986	281.401	237.878	-2625.354	-1800.324	62.693
1600	230.672	454.745	291.777	260.748	-2620.240	-1745.488	56.984
1700	234.572	468.847	301.781	284.011	-2615.031	-1690.975	51.957
1800	238.438	482.364	311.441	307.662	-2609.756	-1636.771	47.498
1900	242.279	495.359	320.781	331.698	-2604.443	-1582.861	43.516
