#Magnesium Silicide (Mg2Si)	Mg2Si1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	67.864	81.588	81.588	0.	-77.822	-77.055	13.500
300	67.994	82.008	81.589	0.126	-77.826	-77.050	13.416
400	73.764	102.413	84.332	7.232	-77.951	-76.770	10.025
500	77.278	119.268	89.683	14.793	-78.002	-76.468	7.989
600	79.831	133.589	95.837	22.651	-78.054	-76.157	6.630
700	82.006	146.062	102.140	30.745	-78.152	-75.833	5.659
800	83.889	157.137	108.335	39.041	-78.342	-75.491	4.929
900	85.688	167.122	114.321	47.520	-78.661	-75.117	4.360
1000	87.404	176.239	120.064	56.175	-96.329	-73.274	3.827
1100	89.077	184.649	125.558	65.000	-97.022	-70.933	3.368
1200	90.667	192.468	130.812	73.987	-97.596	-68.536	2.983
1300	92.257	199.788	135.839	83.134	-98.052	-66.095	2.656
