#Sodium Silicate (Na2SiO3)	Na2O3Si1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	111.880	113.847	113.847	0.	-1561.427	-1467.330	257.070
300	112.395	114.540	113.849	0.207	-1561.442	-1466.746	255.383
400	127.779	149.118	118.459	12.264	-1567.208	-1434.679	187.350
500	138.716	178.865	127.635	25.615	-1566.925	-1401.558	146.420
600	147.114	204.926	138.390	39.922	-1565.766	-1368.581	119.146
700	153.946	228.133	149.583	54.985	-1563.937	-1335.853	99.683
800	159.749	249.078	160.732	70.677	-1561.578	-1303.425	85.105
900	164.841	268.193	171.625	86.911	-1558.788	-1271.319	73.785
1000	169.423	285.801	182.174	103.628	-1555.650	-1239.544	64.747
1100	173.628	302.149	192.346	120.783	-1552.231	-1208.096	57.368
1200	177.540	317.425	202.140	138.343	-1742.114	-1172.091	51.020
1300	181.230	331.783	211.566	156.283	-1736.446	-1124.817	45.196
