#Sodium Sulfide (Na2S)	Na2S1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	82.801	96.232	96.232	0.	-366.100	-354.552	62.116
300	82.843	96.744	96.234	0.153	-366.093	-354.480	61.720
400	84.308	120.780	99.501	8.512	-373.575	-350.129	45.722
500	85.772	139.753	105.719	17.017	-375.200	-344.086	35.946
600	87.236	155.522	112.742	25.668	-376.166	-337.761	29.405
700	88.701	169.081	119.844	34.466	-376.619	-331.319	24.723
800	90.165	181.023	126.760	43.411	-376.704	-324.838	21.210
900	91.337	191.717	133.394	52.491	-429.655	-317.282	18.415
1000	92.843	201.418	139.718	61.700	-428.077	-304.880	15.925
1100	110.458	210.823	145.749	71.581	-425.884	-292.653	13.897
1200	159.494	222.269	151.627	84.771	-614.002	-275.864	12.008
