#Nickel (Ni)	Ni1(cr,l)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
700	30.794	55.575	37.941	12.344	0.	0.	0.
800	31.003	59.697	40.408	15.431	0.	0.	0.
900	31.589	63.382	42.759	18.560	0.	0.	0.
1000	32.217	66.742	44.992	21.750	0.	0.	0.
1100	32.928	69.845	47.112	25.007	0.	0.	0.
1200	33.681	72.742	49.128	28.336	0.	0.	0.
1300	34.518	75.471	51.051	31.746	0.	0.	0.
1400	35.397	78.061	52.888	35.241	0.	0.	0.
1500	36.317	80.534	54.649	38.827	0.	0.	0.
1600	37.279	82.908	56.342	42.506	0.	0.	0.
1700	38.284	85.199	57.972	46.286	0.	0.	0.
