#Titanium Oxide, Alpha (TiO)	O1Ti1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	39.957	34.769	34.769	0.000	-542.665	-513.278	89.924
300	40.062	35.017	34.770	0.074	-542.665	-513.096	89.338
400	44.978	47.274	36.408	4.346	-542.491	-503.257	65.719
500	48.242	57.679	39.648	9.015	-542.092	-493.491	51.555
600	50.836	66.709	43.422	13.972	-541.541	-483.821	42.120
700	53.095	74.719	47.331	19.171	-540.857	-474.253	35.389
800	55.187	81.947	51.214	24.586	-540.035	-464.793	30.348
900	57.153	88.561	55.001	30.204	-539.111	-455.442	26.433
1000	59.078	94.682	58.667	36.016	-538.152	-446.197	23.307
1100	60.961	100.402	62.203	42.018	-537.219	-437.047	20.754
1200	62.802	105.785	65.613	48.206	-540.300	-427.861	18.624
