#Titanium, Alpha (Ti)	Ti1(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
298.15	25.238	30.759	30.759	0.	0.	0.	0.
300	25.276	30.915	30.760	0.047	0.	0.	0.
350	26.169	34.882	31.071	1.334	0.	0.	0.
400	26.862	38.423	31.772	2.660	0.	0.	0.
450	27.418	41.620	32.692	4.018	0.	0.	0.
500	27.877	44.534	33.733	5.401	0.	0.	0.
600	28.596	49.683	35.973	8.226	0.	0.	0.
700	29.135	54.134	38.257	11.114	0.	0.	0.
800	29.472	58.039	40.490	14.039	0.	0.	0.
900	30.454	61.561	42.639	17.030	0.	0.	0.
1000	32.074	64.848	44.697	20.151	0.	0.	0.
1100	34.334	68.006	46.673	23.466	0.	0.	0.
