#Titanium Oxide (Ti2O3)	O3Ti2(cr)
#T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
500	130.248	139.362	89.735	24.813	-1515.999	-1375.626	143.711
600	136.440	163.704	100.081	38.174	-1513.028	-1347.825	117.339
700	140.331	185.051	110.727	52.027	-1509.833	-1320.542	98.540
800	142.967	203.971	121.223	66.199	-1506.516	-1293.726	84.472
900	144.892	220.928	131.375	80.597	-1503.208	-1267.327	73.554
1000	146.356	236.272	141.110	95.162	-1500.078	-1241.288	64.838
1100	147.528	250.277	150.407	109.858	-1497.276	-1215.547	57.722
1200	148.532	263.158	159.273	124.662	-1502.785	-1189.806	51.791
1300	149.369	275.081	167.729	139.558	-1499.224	-1163.870	46.765
1400	150.080	286.177	175.798	154.531	-1495.789	-1138.203	42.467
1500	150.750	296.554	183.506	169.573	-1492.509	-1112.777	38.750
1600	151.377	306.304	190.879	184.680	-1489.413	-1087.564	35.505
1700	151.921	315.497	197.942	199.845	-1486.531	-1062.538	32.648
1800	152.465	324.197	204.716	215.065	-1483.892	-1037.675	30.113
1900	152.925	332.452	211.224	230.334	-1481.528	-1012.950	27.848
2000	153.427	340.309	217.483	245.652	-1508.838	-987.436	25.789
2100	153.888	347.806	223.512	261.018	-1508.597	-961.372	23.913
